ID,OT,ot_book,ot_b,ot_c,ot_v,NT,nt_book,nt_b,nt_c,nt_v
1,Isa 7:14,Isaiah,23,7,14,Mt 1:23,Matthew,40,1,23
2,Mic 5:2,Micah,33,5,2,Mt 2:6,Matthew,40,2,6
3,Ho 11:1,Hosea,28,11,1,Mt 2:15,Matthew,40,2,15
4,Jer 31:15,Jeremiah,24,31,15,Mt 2:18,Matthew,40,2,18
5,Isa 40:3,Isaiah,23,40,3,Mt 3:3,Matthew,40,3,3
6,De 8:3,Deuteronomy,5,8,3,Mt 4:4,Matthew,40,4,4
7,"Ps 91:11,12",Psalms,19,91,11,Mt 4:6,Matthew,40,4,6
8,De 6:16,Deuteronomy,5,6,16,Mt 4:7,Matthew,40,4,7
9,De 6:13,Deuteronomy,5,6,13,Mt 4:10,Matthew,40,4,10
10,De 10:20,Deuteronomy,5,10,20,Mt 4:10,Matthew,40,4,10
11,"Isa 9:1,2",Isaiah,23,9,1,"Mt 4:15,16",Matthew,40,4,15
12,Isa 42:7,Isaiah,23,42,7,"Mt 4:15,16",Matthew,40,4,15
13,De 5:17,Deuteronomy,5,5,17,Mt 5:21,Matthew,40,5,21
14,De 5:18,Deuteronomy,5,5,18,Mt 5:27,Matthew,40,5,27
15,De 19:21,Deuteronomy,5,19,21,Mt 5:38,Matthew,40,5,38
16,Ge 17:1,Genesis,1,17,1,Mt 5:48,Matthew,40,5,48
17,Ps 6:8,Psalms,19,6,8,Mt 7:23,Matthew,40,7,23
18,Isa 53:4,Isaiah,23,53,4,Mt 8:17,Matthew,40,8,17
19,Ho 6:6,Hosea,28,6,6,Mt 9:13,Matthew,40,9,13
20,Mal 3:1,Malachi,39,3,1,Mt 11:10,Matthew,40,11,10
21,Ho 6:6,Hosea,28,6,6,Mt 12:7,Matthew,40,12,7
22,Isa 42:1,Isaiah,23,42,1,Mt 12:18,Matthew,40,12,18
23,Isa 42:1-4,Isaiah,23,42,1,Mt 12:18-21,Matthew,40,12,18
24,"Isa 6:9,10",Isaiah,23,6,9,Mt 13:14,Matthew,40,13,14
25,Ps 78:2,Psalms,19,78,2,Mt 13:35,Matthew,40,13,35
26,Ex 20:12,Exodus,2,20,12,Mt 15:4,Matthew,40,15,4
27,De 5:16,Deuteronomy,5,5,16,Mt 15:4,Matthew,40,15,4
28,Ex 21:17,Exodus,2,21,17,Mt 15:4,Matthew,40,15,4
29,Isa 29:13,Isaiah,23,29,13,"Mt 15:8,9",Matthew,40,15,8
30,Ge 2:24,Genesis,1,2,24,Mt 19:5,Matthew,40,19,5
31,Ex 20:12-16,Exodus,2,20,12,Mt 19:18,Matthew,40,19,18
32,Le 19:18,Leviticus,3,19,18,Mt 19:19,Matthew,40,19,19
33,Zec 9:9,Zechariah,38,9,9,Mt 21:5,Matthew,40,21,5
34,Ps 118:26,Psalms,19,118,26,Mt 21:9,Matthew,40,21,9
35,Isa 56:7,Isaiah,23,56,7,Mt 21:13,Matthew,40,21,13
36,Jer 7:11,Jeremiah,24,7,11,Mt 21:13,Matthew,40,21,13
37,Ps 8:2,Psalms,19,8,2,Mt 21:16,Matthew,40,21,16
38,"Ps 118:22,23",Psalms,19,118,22,Mt 21:42,Matthew,40,21,42
39,De 25:5,Deuteronomy,5,25,5,Mt 22:24,Matthew,40,22,24
40,Ex 3:6,Exodus,2,3,6,Mt 22:32,Matthew,40,22,32
41,De 6:5,Deuteronomy,5,6,5,Mt 22:37,Matthew,40,22,37
42,Le 19:18,Leviticus,3,19,18,Mt 22:39,Matthew,40,22,39
43,Ps 110:1,Psalms,19,110,1,Mt 22:44,Matthew,40,22,44
44,Jer 30:7,Jeremiah,24,30,7,Mt 24:21,Matthew,40,24,21
45,Ps 6:8,Psalms,19,6,8,Mt 25:41,Matthew,40,25,41
46,Zec 13:7,Zechariah,38,13,7,Mt 26:31,Matthew,40,26,31
47,Zec 11:13,Zechariah,38,11,13,"Mt 27:9,10",Matthew,40,27,9
48,Ps 22:18,Psalms,19,22,18,Mt 27:35,Matthew,40,27,35
49,Ps 22:1,Psalms,19,22,1,Mt 27:46,Matthew,40,27,46
50,Mal 3:1,Malachi,39,3,1,"Mr 1:2,3",Mark,41,1,2
51,Isa 40:3,Isaiah,23,40,3,"Mr 1:2,3",Mark,41,1,2
52,Isa 6:9,Isaiah,23,6,9,Mr 4:12,Mark,41,4,12
53,Isa 29:13,Isaiah,23,29,13,"Mr 7:6,7",Mark,41,7,6
54,Ex 20:12,Exodus,2,20,12,Mr 7:10,Mark,41,7,10
55,De 5:16,Deuteronomy,5,5,16,Mr 7:10,Mark,41,7,10
56,Ex 21:17,Exodus,2,21,17,Mr 7:10,Mark,41,7,10
57,Pr 20:20,Proverbs,20,20,20,Mr 7:10,Mark,41,7,10
58,Ge 1:27,Genesis,1,1,27,Mr 10:6,Mark,41,10,6
59,Ge 2:24,Genesis,1,2,24,Mr 10:7,Mark,41,10,7
60,"Ex 20:12,13,14",Exodus,2,20,12,Mr 10:19,Mark,41,10,19
61,Ps 118:26,Psalms,19,118,26,Mr 11:9,Mark,41,11,9
62,Isa 56:7,Isaiah,23,56,7,Mr 11:17,Mark,41,11,17
63,Jer 7:11,Jeremiah,24,7,11,Mr 11:17,Mark,41,11,17
64,"Ps 118:22,23",Psalms,19,118,22,"Mr 12:10,11",Mark,41,12,10
65,De 25:5,Deuteronomy,5,25,5,Mr 12:19,Mark,41,12,19
66,Ex 3:6,Exodus,2,3,6,Mr 12:26,Mark,41,12,26
67,"De 6:4,5",Deuteronomy,5,6,4,"Mr 12:29,30",Mark,41,12,29
68,Le 19:18,Leviticus,3,19,18,Mr 12:31,Mark,41,12,31
69,Ps 110:1,Psalms,19,110,1,Mr 12:36,Mark,41,12,36
70,Zec 13:7,Zechariah,38,13,7,Mr 14:27,Mark,41,14,27
71,Isa 53:12,Isaiah,23,53,12,Mr 15:28,Mark,41,15,28
72,Ps 22:1,Psalms,19,22,1,Mr 15:34,Mark,41,15,34
73,"Mal 4:5,6",Malachi,39,4,5,Lu 1:17,Luke,42,1,17
74,Ex 13:2,Exodus,2,13,2,Lu 2:23,Luke,42,2,23
75,Le 12:8,Leviticus,3,12,8,Lu 2:24,Luke,42,2,24
76,"Isa 40:3,4,5",Isaiah,23,40,3,"Lu 3:4,5,6",Luke,42,3,4
77,De 8:3,Deuteronomy,5,8,3,Lu 4:4,Luke,42,4,4
78,De 6:13,Deuteronomy,5,6,13,Lu 4:8,Luke,42,4,8
79,De 10:20,Deuteronomy,5,10,20,Lu 4:8,Luke,42,4,8
80,"Ps 91:11,12",Psalms,19,91,11,"Lu 4:10,11",Luke,42,4,10
81,De 6:16,Deuteronomy,5,6,16,Lu 4:12,Luke,42,4,12
82,"Isa 61:1,2",Isaiah,23,61,1,"Lu 4:18,19",Luke,42,4,18
83,Mal 3:1,Malachi,39,3,1,Lu 7:27,Luke,42,7,27
84,Isa 6:9,Isaiah,23,6,9,Lu 8:10,Luke,42,8,10
85,De 6:5,Deuteronomy,5,6,5,Lu 10:27,Luke,42,10,27
86,Le 19:18,Leviticus,3,19,18,Lu 10:27,Luke,42,10,27
87,Ps 6:8,Psalms,19,6,8,Lu 13:27,Luke,42,13,27
88,Ex 20:12-16,Exodus,2,20,12,Lu 18:20,Luke,42,18,20
89,De 5:16-20,Deuteronomy,5,5,16,Lu 18:20,Luke,42,18,20
90,Isa 56:7,Isaiah,23,56,7,Lu 19:46,Luke,42,19,46
91,Jer 7:11,Jeremiah,24,7,11,Lu 19:46,Luke,42,19,46
92,"Ps 118:22,23",Psalms,19,118,22,Lu 20:17,Luke,42,20,17
93,De 25:5,Deuteronomy,5,25,5,Lu 20:28,Luke,42,20,28
94,Ps 110:1,Psalms,19,110,1,"Lu 20:42,43",Luke,42,20,42
95,Isa 53:12,Isaiah,23,53,12,Lu 22:37,Luke,42,22,37
96,Ps 31:5,Psalms,19,31,5,Lu 23:46,Luke,42,23,46
97,Isa 40:3,Isaiah,23,40,3,Joh 1:23,John,43,1,23
98,Ps 69:9,Psalms,19,69,9,Joh 2:17,John,43,2,17
99,Ps 78:24,Psalms,19,78,24,Joh 6:31,John,43,6,31
100,Isa 54:13,Isaiah,23,54,13,Joh 6:45,John,43,6,45
101,De 19:15,Deuteronomy,5,19,15,Joh 8:17,John,43,8,17
102,Ps 82:6,Psalms,19,82,6,Joh 9:31,John,43,9,31
103,Zec 9:9,Zechariah,38,9,9,"Joh 12:14,15",John,43,12,14
104,Isa 53:1,Isaiah,23,53,1,Joh 12:38,John,43,12,38
105,Isa 6:9,Isaiah,23,6,9,Joh 12:40,John,43,12,40
106,Ps 41:9,Psalms,19,41,9,Joh 13:18,John,43,13,18
107,Ps 69:4,Psalms,19,69,4,Joh 15:25,John,43,15,25
108,Ps 109:3,Psalms,19,109,3,Joh 15:25,John,43,15,25
109,Ps 35:19,Psalms,19,35,19,Joh 15:25,John,43,15,25
110,Ps 22:19,Psalms,19,22,19,Joh 19:24,John,43,19,24
111,Ex 12:46,Exodus,2,12,46,Joh 19:36,John,43,19,36
112,Ps 34:20,Psalms,19,34,20,Joh 19:36,John,43,19,36
113,Zec 12:10,Zechariah,38,12,10,Joh 19:37,John,43,19,37
114,Ps 69:25,Psalms,19,69,25,Ac 1:20,Acts,44,1,20
115,Ps 109:8,Psalms,19,109,8,Ac 1:20,Acts,44,1,20
116,Joe 2:28-32,Joel,29,2,28,Ac 2:17-21,Acts,44,2,17
117,Ps 16:8-10,Psalms,19,16,8,Ac 2:25-28,Acts,44,2,25
118,Ps 16:10,Psalms,19,16,10,Ac 2:31,Acts,44,2,31
119,Ps 110:1,Psalms,19,110,1,Ac 2:34,Acts,44,2,34
120,"De 18:15,18,19",Deuteronomy,5,18,15,"Ac 3:22,23",Acts,44,3,22
121,Ge 22:18,Genesis,1,22,18,Ac 3:25,Acts,44,3,25
