,ot_ref,nt_ref,nt_text
57,Ge 1:27,Mr 10:6,But from the beginning of the creation God made them male and female.
265,"Ge 2:2,3",Heb 4:4,"For he spake in a certain place of the seventh day on this wise, And God did rest the seventh day from all his works."
246,Ge 2:4,Eph 5:31,"For this cause shall a man leave his father and mother, and shall be joined unto his wife, and they two shall be one flesh."
219,Ge 2:7,1Co 15:45,"And so it is written, The first man Adam was made a living soul; the last Adam was made a quickening spirit."
29,Ge 2:24,Mt 19:5,"And said, For this cause shall a man leave father and mother, and shall cleave to his wife: and they twain shall be one flesh?"
58,Ge 2:24,Mr 10:7,"For this cause shall a man leave his father and mother, and cleave to his wife;"
210,Ge 2:24,1Co 6:16,"What? know ye not that he which is joined to an harlot is one body? for two, saith he, shall be one flesh."
123,Ge 12:1,Ac 7:3,"And said unto him, Get thee out of thy country, and from thy kindred, and come into the land which I shall shew thee."
234,Ge 12:3,Ga 3:8,"And the scripture, foreseeing that God would justify the heathen through faith, preached before the gospel unto Abraham, saying, In thee shall all nations be blessed."
158,Ge 15:5,Ro 4:18,"Who against hope believed in hope, that he might become the father of many nations, according to that which was spoken, So shall thy seed be."
154,Ge 15:6,Ro 4:3,"For what saith the scripture? Abraham believed God, and it was counted unto him for righteousness."
289,Ge 15:6,Jas 2:23,"And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of God."
124,"Ge 15:13,14","Ac 7:6,7","And God spake on this wise, That his seed should sojourn in a strange land; and that they should bring them into bondage, and entreat them evil four hundred years."
15,Ge 17:1,Mt 5:48,"Be ye therefore perfect, even as your Father which is in heaven is perfect."
157,Ge 17:5,Ro 4:17,"(As it is written, I have made thee a father of many nations,) before him whom he believed, even God, who quickeneth the dead, and calleth those things which be not as though they were."
156,Ge 17:10,Ro 4:11,"And he received the sign of circumcision, a seal of the righteousness of the faith which he had yet being uncircumcised: that he might be the father of all them that believe, though they be not circumcised; that righteousness might be imputed unto them also:"
163,Ge 18:10,Ro 9:9,"For this is the word of promise, At this time will I come, and Sarah shall have a son."
241,Ge 21:10,Ga 4:30,Nevertheless what saith the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman.
162,Ge 21:12,Ro 9:7,"Neither, because they are the seed of Abraham, are they all children: but, In Isaac shall thy seed be called."
269,"Ge 22:16,17",Heb 6:14,"Saying, Surely blessing I will bless thee, and multiplying I will multiply thee."
120,Ge 22:18,Ac 3:25,"Ye are the children of the prophets, and of the covenant which God made with our fathers, saying unto Abraham, And in thy seed shall all the kindreds of the earth be blessed."
239,Ge 22:18,Ga 3:16,"Now to Abraham and his seed were the promises made. He saith not, And to seeds, as of many; but as of one, And to thy seed, which is Christ."
164,Ge 25:23,Ro 9:12,"It was said unto her, The elder shall serve the younger."
278,Ge 47:31,Heb 11:21,"By faith Jacob, when he was a dying, blessed both the sons of Joseph; and worshipped, leaning upon the top of his staff."
125,"Ex 2:13,14",Ac 7:26,"And the next day he shewed himself unto them as they strove, and would have set them at one again, saying, Sirs, ye are brethren; why do ye wrong one to another?"
128,Ex 2:14,Ac 7:35,"This Moses whom they refused, saying, Who made thee a ruler and a judge? the same did God send to be a ruler and a deliverer by the hand of the angel which appeared to him in the bush."
127,"Ex 3:5,7,8,10","Ac 7:33,34","Then said the Lord to him, Put off thy shoes from thy feet: for the place where thou standest is holy ground."
39,Ex 3:6,Mt 22:32,"I am the God of Abraham, and the God of Isaac, and the God of Jacob? God is not the God of the dead, but of the living."
65,Ex 3:6,Mr 12:26,"And as touching the dead, that they rise: have ye not read in the book of Moses, how in the bush God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?"
126,Ex 3:6,Ac 7:32,"Saying, I am the God of thy fathers, the God of Abraham, and the God of Isaac, and the God of Jacob. Then Moses trembled, and durst not behold."
167,Ex 9:16,Ro 9:17,"For the scripture saith unto Pharaoh, Even for this same purpose have I raised thee up, that I might shew my power in thee, and that my name might be declared throughout all the earth."
110,Ex 12:46,Joh 19:36,"For these things were done, that the scripture should be fulfilled, A bone of him shall not be broken."
73,Ex 13:2,Lu 2:23,"(As it is written in the law of the LORD, Every male that openeth the womb shall be called holy to the Lord;)"
229,Ex 16:18,2Co 8:15,"As it is written, He that had gathered much had nothing over; and he that had gathered little had no lack."
