,nt_ref,ot_ref,ot_text
0,Mt 1:23,Isa 7:14,"Therefore the Lord himself shall give you a sign; Behold, a virgin shall conceive, and bear a son, and shall call his name Immanuel."
1,Mt 2:6,Mic 5:2,"But thou, Bethlehem Ephratah, though thou be little among the thousands of Judah, yet out of thee shall he come forth unto me that is to be ruler in Israel; whose goings forth have been from of old, from everlasting."
2,Mt 2:15,Ho 11:1,"When Israel was a child, then I loved him, and called my son out of Egypt."
3,Mt 2:18,Jer 31:15,"Thus saith the LORD; A voice was heard in Ramah, lamentation, and bitter weeping; Rahel weeping for her children refused to be comforted for her children, because they were not."
4,Mt 3:3,Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
5,Mt 4:4,De 8:3,"And he humbled thee, and suffered thee to hunger, and fed thee with manna, which thou knewest not, neither did thy fathers know; that he might make thee know that man doth not live by bread only, but by every word that proceedeth out of the mouth of the LORD doth man live."
6,Mt 4:6,"Ps 91:11,12","For he shall give his angels charge over thee, to keep thee in all thy ways."
7,Mt 4:7,De 6:16,"Ye shall not tempt the LORD your God, as ye tempted him in Massah."
8,Mt 4:10,De 6:13,"Thou shalt fear the LORD thy God, and serve him, and shalt swear by his name."
9,Mt 4:10,De 10:20,"Thou shalt fear the LORD thy God; him shalt thou serve, and to him shalt thou cleave, and swear by his name."
10,"Mt 4:15,16","Isa 9:1,2","Nevertheless the dimness shall not be such as was in her vexation, when at the first he lightly afflicted the land of Zebulun and the land of Naphtali, and afterward did more grievously afflict her by the way of the sea, beyond Jordan, in Galilee of the nations."
11,"Mt 4:15,16",Isa 42:7,"To open the blind eyes, to bring out the prisoners from the prison, and them that sit in darkness out of the prison house."
12,Mt 5:21,De 5:17,Thou shalt not kill.
13,Mt 5:27,De 5:18,Neither shalt thou commit adultery.
14,Mt 5:38,De 19:21,"And thine eye shall not pity; but life shall go for life, eye for eye, tooth for tooth, hand for hand, foot for foot."
15,Mt 5:48,Ge 17:1,"And when Abram was ninety years old and nine, the LORD appeared to Abram, and said unto him, I am the Almighty God; walk before me, and be thou perfect."
16,Mt 7:23,Ps 6:8,"Depart from me, all ye workers of iniquity; for the LORD hath heard the voice of my weeping."
17,Mt 8:17,Isa 53:4,"Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted."
18,Mt 9:13,Ho 6:6,"For I desired mercy, and not sacrifice; and the knowledge of God more than burnt offerings."
19,Mt 11:10,Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
20,Mt 12:7,Ho 6:6,"For I desired mercy, and not sacrifice; and the knowledge of God more than burnt offerings."
21,Mt 12:18,Isa 42:1,"Behold my servant, whom I uphold; mine elect, in whom my soul delighteth; I have put my spirit upon him: he shall bring forth judgment to the Gentiles."
22,Mt 12:18-21,Isa 42:1-4,"Behold my servant, whom I uphold; mine elect, in whom my soul delighteth; I have put my spirit upon him: he shall bring forth judgment to the Gentiles."
23,Mt 13:14,"Isa 6:9,10","And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
24,Mt 13:35,Ps 78:2,I will open my mouth in a parable: I will utter dark sayings of old:
25,Mt 15:4,Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
26,Mt 15:4,De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
27,Mt 15:4,Ex 21:17,"And he that curseth his father, or his mother, shall surely be put to death."
28,"Mt 15:8,9",Isa 29:13,"Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, and with their lips do honour me, but have removed their heart far from me, and their fear toward me is taught by the precept of men:"
29,Mt 19:5,Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
30,Mt 19:18,Ex 20:12-16,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
31,Mt 19:19,Le 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbor as thyself: I am the LORD."
32,Mt 21:5,Zec 9:9,"Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he is just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass."
33,Mt 21:9,Ps 118:26,Blessed be he that cometh in the name of the LORD: we have blessed you out of the house of the LORD.
34,Mt 21:13,Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
35,Mt 21:13,Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
36,Mt 21:16,Ps 8:2,"Out of the mouth of babes and sucklings hast thou ordained strength because of thine enemies, that thou mightest still the enemy and the avenger."
37,Mt 21:42,"Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
38,Mt 22:24,De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
39,Mt 22:32,Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
40,Mt 22:37,De 6:5,"And thou shalt love the LORD thy God with all thine heart, and with all thy soul, and with all thy might."
